epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,421.104,1.60807,1.63138,1.26332,0.1671,0.23059,0.16843,0.08177,2.32961,3.20598,1.747,4.95813e-05,4.95813e-05,4.95813e-05
91,463.74,1.65631,1.87992,1.33668,0.2759,0.19083,0.16217,0.07432,2.33133,3.19554,1.74831,4.5453e-05,4.5453e-05,4.5453e-05
92,468.459,1.60068,1.72272,1.30204,0.2061,0.22801,0.18453,0.08905,2.32811,3.22917,1.7592,4.13247e-05,4.13247e-05,4.13247e-05
93,473.3,1.6501,1.85709,1.32961,0.17863,0.24498,0.17111,0.08544,2.32985,3.2426,1.77591,3.71964e-05,3.71964e-05,3.71964e-05
94,477.787,1.60499,1.77377,1.31322,0.18701,0.23592,0.15626,0.07064,2.3275,3.24036,1.76996,3.30681e-05,3.30681e-05,3.30681e-05
95,482.251,1.54645,1.73327,1.32248,0.18338,0.235,0.16545,0.08149,2.33971,3.25913,1.77121,2.89398e-05,2.89398e-05,2.89398e-05
96,486.734,1.574,1.74335,1.31247,0.20834,0.20357,0.16059,0.07863,2.35656,3.27768,1.77962,2.48115e-05,2.48115e-05,2.48115e-05
97,491.249,1.51171,1.75958,1.30018,0.19357,0.23193,0.15666,0.07886,2.35941,3.29231,1.773,2.06832e-05,2.06832e-05,2.06832e-05
98,496.001,1.54566,1.75751,1.30229,0.18395,0.23646,0.15637,0.07829,2.36594,3.28467,1.77907,1.65549e-05,1.65549e-05,1.65549e-05
99,500.502,1.55994,1.6986,1.28453,0.17723,0.23646,0.15674,0.07866,2.36155,3.28564,1.77601,1.24266e-05,1.24266e-05,1.24266e-05
100,505.081,1.49607,1.67239,1.26232,0.36155,0.13473,0.14728,0.06954,2.36221,3.29127,1.77719,8.2983e-06,8.2983e-06,8.2983e-06
